"","altersgruppe","w92a","partei","verhal","bildung","gewdef","s11","stimm","bast1","bast2","bast3","bast5_1","bast5_2","bast5_3","bast6_1","bast6_2","bast6_3","bast6_5","bast6_6","bast6_7","bast6_8","bast6_9","bast6_10","bast6_11","bast7_1","bast7_2","bast7_3","bast7_5","bast7_6","bast8_1","bast8_2","bast8_3","bast10","bast11_01","bast11_02","bast11_03","bast11_04","bast12_01","bast12_02","bast12_03","bast12_04","bast12_05","bast13","bast14_01","bast14_02","bast14_03","bast15_01","bast15_02","bast15_03","bast15_04","bast16","bast17_01","bast17_02","bast17_03","bast17_04","bast17_05"
"1","4: 65+ Jahre","Ja","SP Sozialdemokratische Partei der Schweiz","10 mal","Tertiärstufe",1.39,"Mann","Ja","sehr interessiert","sehr interessiert","teilweise überfordert","weder noch","primär eine Chance","primär eine Chance","mache ich bereits heute","mache ich bereits heute","mache ich bereits heute","kann ich mir unter Umständen vorstellen, in Zukunft zu machen","mache ich bereits heute","kann ich mir unter Umständen vorstellen, in Zukunft zu machen","kann ich mir unter Umständen vorstellen, in Zukunft zu machen","kann ich mir unter Umständen vorstellen, in Zukunft zu machen","mache ich bereits heute","kann ich mir unter Umständen vorstellen, in Zukunft zu machen","überhaupt nicht einverstanden","eher einverstanden","eher nicht einverstanden","eher einverstanden","eher nicht einverstanden","8","8","6","eher für Einführung","11 Allgemeine positive Aussagen","22 macht das Wählen einfacher/schneller/weniger umständlich",NA,NA,NA,NA,NA,NA,NA,"eher einverstanden","52 bessere Mitbestimmung (Schwelle sinkt)",NA,NA,NA,NA,NA,NA,"finde ich eine sehr gute Idee","46 optimale Sicherheit wird die Zukunft sein, eVoting wird sicherer",NA,NA,NA,NA
"2","4: 65+ Jahre","Ja","SVP Schweizerische Volkspartei","7 mal","Sekundarstufe II",0.71,"Frau","Ja","sehr interessiert","eher interessiert","teilweise überfordert","primär eine Chance","primär ein Risiko","weder noch","mache ich bereits heute","möchte ich sicher in Zukunft nicht machen","möchte ich sicher in Zukunft nicht machen","möchte ich sicher in Zukunft nicht machen","möchte ich sicher in Zukunft nicht machen","möchte ich sicher in Zukunft nicht machen","möchte ich sicher in Zukunft nicht machen","möchte ich sicher in Zukunft nicht machen","möchte ich sicher in Zukunft nicht machen","möchte ich sicher in Zukunft nicht machen","eher nicht einverstanden","eher nicht einverstanden","eher nicht einverstanden","sehr einverstanden","sehr einverstanden","9","7","3","eher nicht für Einführung",NA,NA,NA,NA,"34 Datenverkehr/Internet/Software zu unsicher",NA,NA,NA,NA,"eher nicht einverstanden",NA,NA,NA,"22 bietet Möglichkeit für Fälschungen/Missbrauch/Betrug/hacking/Manipulation",NA,NA,NA,"finde ich eine eher schlechte Idee","87 traue dem Internet nicht",NA,NA,NA,NA
"3","3: 50-64 Jahre","Ja","SVP Schweizerische Volkspartei","5 mal","Sekundarstufe II",0.46,"Mann","Ja","eher interessiert","eher interessiert","teilweise überfordert","primär eine Chance","primär eine Chance","primär eine Chance","mache ich bereits heute","mache ich bereits heute","möchte ich auf jeden Fall in Zukunft machen","möchte ich auf jeden Fall in Zukunft machen","möchte ich auf jeden Fall in Zukunft machen","möchte ich auf jeden Fall in Zukunft machen","kann ich mir unter Umständen vorstellen, in Zukunft zu machen","kann ich mir unter Umständen vorstellen, in Zukunft zu machen","kann ich mir unter Umständen vorstellen, in Zukunft zu machen","kann ich mir unter Umständen vorstellen, in Zukunft zu machen","eher einverstanden","sehr einverstanden","eher nicht einverstanden","überhaupt nicht einverstanden","überhaupt nicht einverstanden","10 grösstes Vertrauen","8","8","eher für Einführung","22 macht das Wählen einfacher/schneller/weniger umständlich",NA,NA,NA,NA,NA,NA,NA,NA,"eher einverstanden","53 Einfachheit motiviert mehr Leute/höhere Beteiligung",NA,NA,NA,NA,NA,NA,"finde ich eine eher gute Idee","42 Digitalisierung, Nutzung der neuen Technologien",NA,NA,NA,NA
"4","3: 50-64 Jahre","Nein",NA,"weiss nicht","Sekundarstufe II",0.68,"Frau","Ja","eher nicht interessiert","eher interessiert","überhaupt nicht überfordert","primär eine Chance","primär eine Chance","primär eine Chance","möchte ich sicher in Zukunft nicht machen","mache ich bereits heute","mache ich bereits heute","möchte ich auf jeden Fall in Zukunft machen","mache ich bereits heute","möchte ich auf jeden Fall in Zukunft machen","möchte ich auf jeden Fall in Zukunft machen","möchte ich auf jeden Fall in Zukunft machen","möchte ich auf jeden Fall in Zukunft machen","kann ich mir unter Umständen vorstellen, in Zukunft zu machen","sehr einverstanden","sehr einverstanden","sehr einverstanden","sehr einverstanden","eher einverstanden","8","8","8","eher für Einführung",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sehr einverstanden",NA,NA,NA,NA,NA,NA,NA,"finde ich eine eher gute Idee","54 mehr Transparenz, Möglichkeit zur Mitverfolgung, mehr Informationen",NA,NA,NA,NA
"5","3: 50-64 Jahre","Ja","SP Sozialdemokratische Partei der Schweiz","10 mal","Tertiärstufe",0.87,"Frau","Ja","sehr interessiert","eher nicht interessiert","teilweise überfordert","primär eine Chance","primär eine Chance","primär eine Chance","kann ich mir unter Umständen vorstellen, in Zukunft zu machen","mache ich bereits heute","mache ich bereits heute","möchte ich sicher in Zukunft nicht machen","kann ich mir unter Umständen vorstellen, in Zukunft zu machen","mache ich bereits heute","kann ich mir unter Umständen vorstellen, in Zukunft zu machen","mache ich bereits heute","mache ich bereits heute","möchte ich sicher in Zukunft nicht machen","überhaupt nicht einverstanden","eher nicht einverstanden","eher nicht einverstanden","eher nicht einverstanden","sehr einverstanden","10 grösstes Vertrauen","5 Mitte","5 Mitte","eher nicht für Einführung",NA,NA,NA,NA,"31 zu viel Manipulation möglich, Zugriff für Hacker (z.B. Viren)",NA,NA,NA,NA,"eher einverstanden","33 der Vorgang ist einfacher/praktischer",NA,NA,NA,NA,NA,NA,"finde ich eine eher gute Idee",NA,NA,NA,NA,NA
"6","1: <35 Jahre","Ja","GPS und GP Grüne Partei der Schweiz","4 mal","Sekundarstufe II",2.23,"Mann","Ja","eher interessiert","eher interessiert","teilweise überfordert","weder noch","primär ein Risiko","weder noch","möchte ich auf jeden Fall in Zukunft machen","kann ich mir unter Umständen vorstellen, in Zukunft zu machen","kann ich mir unter Umständen vorstellen, in Zukunft zu machen","möchte ich sicher in Zukunft nicht machen","möchte ich sicher in Zukunft nicht machen","möchte ich sicher in Zukunft nicht machen","möchte ich sicher in Zukunft nicht machen","möchte ich sicher in Zukunft nicht machen","möchte ich sicher in Zukunft nicht machen","möchte ich sicher in Zukunft nicht machen","eher nicht einverstanden","eher nicht einverstanden","eher nicht einverstanden","eher einverstanden","sehr einverstanden","9","8","4","überhaupt nicht für Einführung",NA,NA,NA,NA,"34 Datenverkehr/Internet/Software zu unsicher",NA,NA,NA,NA,"überhaupt nicht einverstanden",NA,NA,NA,"23 System ist zu unsicher, habe kein Vertrauen/bin skeptisch, Papier ist am sichersten",NA,NA,NA,"finde ich eine sehr schlechte Idee","43 vermehrte Verschlüsselung/Codierung, Glaubwürdigkeit der digitalen Unterschrift",NA,NA,NA,NA
"7","1: <35 Jahre",NA,NA,"8 mal","Sekundarstufe II",1.55,"Frau","Ja","eher nicht interessiert","eher interessiert","überhaupt nicht überfordert","primär eine Chance","primär eine Chance","primär eine Chance","möchte ich auf jeden Fall in Zukunft machen","mache ich bereits heute","möchte ich auf jeden Fall in Zukunft machen","möchte ich auf jeden Fall in Zukunft machen","möchte ich auf jeden Fall in Zukunft machen","kann ich mir unter Umständen vorstellen, in Zukunft zu machen","möchte ich auf jeden Fall in Zukunft machen","möchte ich auf jeden Fall in Zukunft machen","mache ich bereits heute","möchte ich auf jeden Fall in Zukunft machen","eher einverstanden","eher einverstanden","eher einverstanden","eher nicht einverstanden","eher nicht einverstanden","8","8","9","sehr für Einführung",NA,NA,NA,NA,NA,NA,NA,NA,NA,"eher einverstanden",NA,NA,NA,NA,NA,NA,NA,"finde ich eine eher gute Idee","41 eVoting wird der Standard (z.B. Wahlen, Abstimmungen)",NA,NA,NA,NA
"8","3: 50-64 Jahre","Ja","LDP Liberal-demokratische Partei oder FDP.Die Liberalen","10 mal","Tertiärstufe",0.49,"Frau","Ja","sehr interessiert","eher interessiert","stark überfordert","weder noch","primär ein Risiko","primär eine Chance","kann ich mir unter Umständen vorstellen, in Zukunft zu machen","mache ich bereits heute","mache ich bereits heute","kann ich mir unter Umständen vorstellen, in Zukunft zu machen","möchte ich auf jeden Fall in Zukunft machen","möchte ich sicher in Zukunft nicht machen","möchte ich auf jeden Fall in Zukunft machen","möchte ich auf jeden Fall in Zukunft machen","möchte ich auf jeden Fall in Zukunft machen","möchte ich sicher in Zukunft nicht machen","überhaupt nicht einverstanden","eher einverstanden","eher einverstanden","sehr einverstanden","sehr einverstanden","10 grösstes Vertrauen","10 grösstes Vertrauen","4","eher nicht für Einführung",NA,NA,NA,NA,"31 zu viel Manipulation möglich, Zugriff für Hacker (z.B. Viren)","61 keine Gewährleistung des Datenschutzes/Abstimmungsgeheimnis",NA,NA,NA,"eher einverstanden","19 Anderes zu Allgemeines",NA,NA,NA,NA,NA,NA,"finde ich eine eher gute Idee","71 alles von zu Hause aus machen können","100 Sicherheitsbedenken im Zusammenhang mit Digitalisierung","101 Bedenken bei der Datensicherheit/Schutz der Personen (z.B. Hacker)",NA,NA
"9","3: 50-64 Jahre","Nein",NA,"4 mal","Tertiärstufe",0.69,"Mann","Ja","eher interessiert","sehr interessiert","teilweise überfordert","weder noch","weder noch","weder noch","kann ich mir unter Umständen vorstellen, in Zukunft zu machen","mache ich bereits heute","möchte ich sicher in Zukunft nicht machen","möchte ich sicher in Zukunft nicht machen","möchte ich auf jeden Fall in Zukunft machen","kann ich mir unter Umständen vorstellen, in Zukunft zu machen","möchte ich sicher in Zukunft nicht machen","kann ich mir unter Umständen vorstellen, in Zukunft zu machen","möchte ich auf jeden Fall in Zukunft machen","kann ich mir unter Umständen vorstellen, in Zukunft zu machen","überhaupt nicht einverstanden","eher nicht einverstanden","eher einverstanden","eher einverstanden","sehr einverstanden","10 grösstes Vertrauen","10 grösstes Vertrauen","5 Mitte","keine Antwort",NA,NA,NA,NA,NA,NA,NA,NA,NA,"eher einverstanden","11 Allgemeine positive Aussagen",NA,NA,NA,NA,NA,NA,"finde ich eine eher gute Idee","91 Digitalisierung wird alles teurer machen","91 Digitalisierung wird alles teurer machen","101 Bedenken bei der Datensicherheit/Schutz der Personen (z.B. Hacker)",NA,NA
"10","2: 35-49 Jahre","Nein",NA,"3 mal","Sekundarstufe II",0.69,"Mann","Ja","überhaupt nicht interessiert","sehr interessiert","überhaupt nicht überfordert","primär eine Chance","primär eine Chance","primär eine Chance","möchte ich auf jeden Fall in Zukunft machen","mache ich bereits heute","mache ich bereits heute","möchte ich auf jeden Fall in Zukunft machen","möchte ich auf jeden Fall in Zukunft machen","möchte ich auf jeden Fall in Zukunft machen","möchte ich sicher in Zukunft nicht machen","möchte ich auf jeden Fall in Zukunft machen","kann ich mir unter Umständen vorstellen, in Zukunft zu machen","möchte ich sicher in Zukunft nicht machen","eher einverstanden","sehr einverstanden","sehr einverstanden","eher nicht einverstanden","eher nicht einverstanden","9","8","7","eher für Einführung",NA,NA,NA,NA,NA,NA,NA,NA,NA,"eher einverstanden",NA,NA,NA,NA,NA,NA,NA,"finde ich eine eher gute Idee","11 Allgemeine positive Aussagen","71 alles von zu Hause aus machen können",NA,NA,NA
"11","3: 50-64 Jahre","Ja","LDP Liberal-demokratische Partei oder FDP.Die Liberalen","10 mal","Tertiärstufe",0.49,"Mann","Ja","sehr interessiert","eher interessiert","überhaupt nicht überfordert","primär eine Chance","primär eine Chance","primär eine Chance","möchte ich auf jeden Fall in Zukunft machen","mache ich bereits heute","mache ich bereits heute","möchte ich auf jeden Fall in Zukunft machen","mache ich bereits heute","mache ich bereits heute","möchte ich auf jeden Fall in Zukunft machen","kann ich mir unter Umständen vorstellen, in Zukunft zu machen","mache ich bereits heute","mache ich bereits heute","überhaupt nicht einverstanden","sehr einverstanden","sehr einverstanden","sehr einverstanden","überhaupt nicht einverstanden","4","7","8","sehr für Einführung","22 macht das Wählen einfacher/schneller/weniger umständlich",NA,NA,NA,NA,NA,NA,NA,NA,"sehr einverstanden","31 Unterschriftensammlung bisher zu mühsam","33 der Vorgang ist einfacher/praktischer",NA,NA,NA,NA,NA,"finde ich eine sehr gute Idee","10 Allgemeines",NA,NA,NA,NA
"12","2: 35-49 Jahre","Ja","LDP Liberal-demokratische Partei oder FDP.Die Liberalen","7 mal","Sekundarstufe II",0.49,"Frau","Ja","eher interessiert","eher interessiert","überhaupt nicht überfordert","primär eine Chance","primär eine Chance","primär eine Chance","möchte ich auf jeden Fall in Zukunft machen","mache ich bereits heute","mache ich bereits heute","möchte ich auf jeden Fall in Zukunft machen","mache ich bereits heute","möchte ich auf jeden Fall in Zukunft machen","kann ich mir unter Umständen vorstellen, in Zukunft zu machen","möchte ich auf jeden Fall in Zukunft machen","möchte ich auf jeden Fall in Zukunft machen","kann ich mir unter Umständen vorstellen, in Zukunft zu machen","eher einverstanden","sehr einverstanden","eher einverstanden","eher nicht einverstanden","eher nicht einverstanden","9","8","8","eher für Einführung","21 Wählen von unterwegs/zu Hause aus möglich",NA,NA,NA,NA,NA,NA,NA,NA,"eher einverstanden","11 Allgemeine positive Aussagen",NA,NA,NA,NA,NA,NA,"finde ich eine eher gute Idee","42 Digitalisierung, Nutzung der neuen Technologien",NA,NA,NA,NA
"13","3: 50-64 Jahre","Ja","SP Sozialdemokratische Partei der Schweiz","10 mal","Tertiärstufe",0.87,"Frau","Ja","eher interessiert","sehr interessiert","teilweise überfordert","weder noch","primär eine Chance","primär eine Chance","kann ich mir unter Umständen vorstellen, in Zukunft zu machen","mache ich bereits heute","mache ich bereits heute","mache ich bereits heute","mache ich bereits heute","möchte ich auf jeden Fall in Zukunft machen","kann ich mir unter Umständen vorstellen, in Zukunft zu machen","möchte ich sicher in Zukunft nicht machen","mache ich bereits heute","möchte ich sicher in Zukunft nicht machen","eher nicht einverstanden","eher nicht einverstanden","eher einverstanden","eher nicht einverstanden","eher nicht einverstanden","9","9","8","sehr für Einführung","33 ermöglicht Wählen für Menschen, die es bisher nicht konnten",NA,NA,NA,NA,NA,NA,NA,NA,"sehr einverstanden","33 der Vorgang ist einfacher/praktischer","43 Abstimmung jederzeit und überall vollziehbar",NA,NA,NA,NA,NA,"finde ich eine sehr gute Idee","50 Partizipation und Dialog erhöht sich",NA,NA,NA,NA
"14","3: 50-64 Jahre","Ja","SP Sozialdemokratische Partei der Schweiz","10 mal","Tertiärstufe",0.88,"Mann","Ja","eher interessiert","eher interessiert","überhaupt nicht überfordert","primär ein Risiko","weder noch","primär eine Chance","möchte ich auf jeden Fall in Zukunft machen","mache ich bereits heute","mache ich bereits heute","kann ich mir unter Umständen vorstellen, in Zukunft zu machen","mache ich bereits heute","weiss nicht","mache ich bereits heute","mache ich bereits heute","mache ich bereits heute","möchte ich auf jeden Fall in Zukunft machen","eher einverstanden","eher einverstanden","eher einverstanden","sehr einverstanden","sehr einverstanden","9","8","5 Mitte","eher nicht für Einführung",NA,NA,NA,NA,"30 Sicherheitsbedenken",NA,NA,NA,NA,"eher einverstanden","10 Allgemeines",NA,NA,NA,NA,NA,NA,"finde ich eine eher gute Idee","10 Allgemeines",NA,NA,NA,NA
"15","3: 50-64 Jahre","Ja","GPS und GP Grüne Partei der Schweiz","7 mal","Tertiärstufe",0.97,"Frau","Ja","eher interessiert","eher interessiert","überhaupt nicht überfordert","primär ein Risiko","weiss nicht","weder noch","kann ich mir unter Umständen vorstellen, in Zukunft zu machen","mache ich bereits heute","mache ich bereits heute","kann ich mir unter Umständen vorstellen, in Zukunft zu machen","mache ich bereits heute","kann ich mir unter Umständen vorstellen, in Zukunft zu machen","kann ich mir unter Umständen vorstellen, in Zukunft zu machen","kann ich mir unter Umständen vorstellen, in Zukunft zu machen","mache ich bereits heute","möchte ich sicher in Zukunft nicht machen","sehr einverstanden","eher einverstanden","eher einverstanden","eher einverstanden","eher einverstanden","8","8","4","eher für Einführung","22 macht das Wählen einfacher/schneller/weniger umständlich",NA,NA,NA,NA,NA,NA,NA,NA,"eher einverstanden","33 der Vorgang ist einfacher/praktischer","33 der Vorgang ist einfacher/praktischer",NA,NA,NA,NA,NA,"finde ich eine sehr gute Idee","85 für die Alten wird es schwer",NA,NA,NA,NA
"16","4: 65+ Jahre","Ja","SP Sozialdemokratische Partei der Schweiz","7 mal","Tertiärstufe",1.39,"Mann","Ja","sehr interessiert","eher interessiert","teilweise überfordert","primär ein Risiko","primär ein Risiko","weder noch","kann ich mir unter Umständen vorstellen, in Zukunft zu machen","mache ich bereits heute","kann ich mir unter Umständen vorstellen, in Zukunft zu machen","kann ich mir unter Umständen vorstellen, in Zukunft zu machen","möchte ich auf jeden Fall in Zukunft machen","kann ich mir unter Umständen vorstellen, in Zukunft zu machen","möchte ich sicher in Zukunft nicht machen","kann ich mir unter Umständen vorstellen, in Zukunft zu machen","kann ich mir unter Umständen vorstellen, in Zukunft zu machen","möchte ich sicher in Zukunft nicht machen","eher einverstanden","eher einverstanden","eher einverstanden","sehr einverstanden","sehr einverstanden","10 grösstes Vertrauen","10 grösstes Vertrauen","5 Mitte","eher nicht für Einführung",NA,NA,NA,NA,"35 kein Vertrauen",NA,NA,NA,NA,"eher nicht einverstanden",NA,NA,NA,"23 System ist zu unsicher, habe kein Vertrauen/bin skeptisch, Papier ist am sichersten",NA,NA,NA,"finde ich eine eher gute Idee","82 alles wird komplizierter",NA,NA,NA,NA
"17","2: 35-49 Jahre","Nein",NA,"4 mal","Tertiärstufe",0.68,"Frau","Ja","eher interessiert","sehr interessiert","überhaupt nicht überfordert","primär eine Chance","primär eine Chance","primär eine Chance","mache ich bereits heute","mache ich bereits heute","mache ich bereits heute","kann ich mir unter Umständen vorstellen, in Zukunft zu machen","möchte ich auf jeden Fall in Zukunft machen","möchte ich auf jeden Fall in Zukunft machen","kann ich mir unter Umständen vorstellen, in Zukunft zu machen","mache ich bereits heute","mache ich bereits heute","kann ich mir unter Umständen vorstellen, in Zukunft zu machen","sehr einverstanden","sehr einverstanden","eher nicht einverstanden","eher einverstanden","eher nicht einverstanden","9","9","9","sehr für Einführung","43 ist die logische Konsequenz, es kommt sowieso, ist die Zukunft",NA,NA,NA,NA,NA,NA,NA,NA,"sehr einverstanden","20 entspricht dem Zeitgeist",NA,NA,NA,NA,NA,NA,"finde ich eine eher schlechte Idee","19 Anderes zu Allgemeines",NA,NA,NA,NA
"18","1: <35 Jahre","Ja","LDP Liberal-demokratische Partei oder FDP.Die Liberalen","6 mal","Sekundarstufe II",1.12,"Mann","Ja","eher nicht interessiert","eher interessiert","überhaupt nicht überfordert","primär eine Chance","primär eine Chance","weder noch","möchte ich auf jeden Fall in Zukunft machen","mache ich bereits heute","mache ich bereits heute","möchte ich auf jeden Fall in Zukunft machen","möchte ich auf jeden Fall in Zukunft machen","möchte ich auf jeden Fall in Zukunft machen","möchte ich sicher in Zukunft nicht machen","kann ich mir unter Umständen vorstellen, in Zukunft zu machen","kann ich mir unter Umständen vorstellen, in Zukunft zu machen","möchte ich sicher in Zukunft nicht machen","eher nicht einverstanden","eher einverstanden","eher einverstanden","eher nicht einverstanden","eher nicht einverstanden","9","9","9","sehr für Einführung",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sehr einverstanden",NA,NA,NA,NA,NA,NA,NA,"finde ich eine sehr gute Idee","73 Vereinfachung der Dinge, alles wird leichter",NA,NA,NA,NA
"19","4: 65+ Jahre","Nein",NA,"weiss nicht","Obligatorische Schule bzw. Sekundarstufe I",1.08,"Frau","Ja","eher nicht interessiert","überhaupt nicht interessiert","stark überfordert","primär ein Risiko","weiss nicht","weder noch","möchte ich sicher in Zukunft nicht machen","möchte ich sicher in Zukunft nicht machen","möchte ich sicher in Zukunft nicht machen","möchte ich sicher in Zukunft nicht machen","möchte ich sicher in Zukunft nicht machen","möchte ich sicher in Zukunft nicht machen","möchte ich sicher in Zukunft nicht machen","möchte ich sicher in Zukunft nicht machen","möchte ich sicher in Zukunft nicht machen","möchte ich sicher in Zukunft nicht machen","überhaupt nicht einverstanden","eher nicht einverstanden","eher nicht einverstanden","eher nicht einverstanden","eher einverstanden","10 grösstes Vertrauen","9","1","überhaupt nicht für Einführung",NA,NA,NA,NA,NA,NA,NA,NA,NA,"überhaupt nicht einverstanden",NA,NA,NA,NA,NA,NA,NA,"finde ich eine sehr schlechte Idee",NA,NA,NA,NA,NA
"20","4: 65+ Jahre","Ja",NA,"10 mal","Tertiärstufe",1.09,"Mann","Ja","sehr interessiert","eher nicht interessiert","teilweise überfordert","primär eine Chance","primär eine Chance","primär eine Chance","kann ich mir unter Umständen vorstellen, in Zukunft zu machen","möchte ich sicher in Zukunft nicht machen","möchte ich sicher in Zukunft nicht machen","möchte ich sicher in Zukunft nicht machen","mache ich bereits heute","möchte ich sicher in Zukunft nicht machen","kann ich mir unter Umständen vorstellen, in Zukunft zu machen","kann ich mir unter Umständen vorstellen, in Zukunft zu machen","kann ich mir unter Umständen vorstellen, in Zukunft zu machen","möchte ich sicher in Zukunft nicht machen","eher nicht einverstanden","eher einverstanden","eher nicht einverstanden","eher einverstanden","eher einverstanden","10 grösstes Vertrauen","10 grösstes Vertrauen","5 Mitte","überhaupt nicht für Einführung",NA,NA,NA,NA,"31 zu viel Manipulation möglich, Zugriff für Hacker (z.B. Viren)",NA,NA,NA,NA,"eher nicht einverstanden",NA,NA,NA,"26 Gefahr durch Einfluss von aussen/Ausland",NA,NA,NA,"finde ich eine eher gute Idee","105 nicht alles muss digitalisiert werden, Digitalisierung muss funktionieren",NA,NA,NA,NA
